star,date,cmt
10,2019-03-06,댓글보고 진짜 별론가 싶었는데 페미에 과잉반응 사람들이 난장판 쳐논거 같네요 재밌게 잘봤습니다. 다음 어벤져스 내용이 궁금하네요.  
10,2019-03-06,이 영화를 페미라고 하는 사람들 논리로 보면 캡틴아메리카는 그럼 남성우월주의 영화로 봐야된다. 본래 이런 거 잘 안올리는데 댓글들 너무 한심해서 몇자 적는다.  
10,2019-03-06,ㅋㅋㅋ잼게보고옴 근데 좀 다들 기괴한거같음 ㅋㅋ 솔직히 브리라슨 이상의 실언을 하고 병크 터뜨린 배우들 겁나 많은데 그사람들한테 가서 이렇게 테러해봤나?? 페미니즘이 뭐라고 이렇게 정성스럽게 비난하는건지 신기.. 제가 보기엔 좀 과해보이는건 님들이신듯  
9,2019-03-06,정상인 남녀들은 아무렇지 않게 보고 나오는데 특정 남녀들만 죽으라고 싸우는 중. 근데 아침부터 부지런들 하다. 이건 진심이야  
9,2019-03-06,재밌기만 한데 뭘 ㅋㅋ 캡틴 마블 다 거른다면서개봉 첫날부터 부랴 부랴 댓글 남기는거 개웃김  
6,2019-03-06,알리타가 재미있다 공감 or 캡틴마블이 재미있다 비공감  
5,2019-03-06,여성히어로는 원더우먼이 더 멋진거 같음.그리고 페미도 페미지만 고인모독은 진짜 좀 아니였던거 같다  
10,2019-03-06,솔직히 1점주는 애들은 보지도않고 그냥 브리라슨자체를 싫어하는 애들이고. 객관적으로 보면 재밋음 리얼ㅍㅌ  
10,2019-03-06,"주위남자들 불매한단소리 1도없음ㅋㅋ 여기서 댓글쓰고 추천 누르는 애들 하타취 찐따 멸돼남들일 것,,,  "
10,2019-03-06,"잘만들었구만~~~페미는 다른 배우들도 다 언급했는데,얘만 물어뜯는 이유좀.;;  "
10,2019-03-06,굿 재밌어요 방금봄 평범테러 믿지마셈  
9,2019-03-06,단독히어로영화중에서 가장 숙제가 많은 영화인데도 스토리를 잘짠것같음 연결고리도 짜임새있으려고 노력한게보였고 눈에보이는 단점도 딱히없음 연출도 대사도 멋졌다 마블팬들을 위해 뿌린떡밥도 많아서 보기전에도 후에도 즐길수있음 다만 액션이 약간 아쉽다  
10,2019-03-06,히어로의 성별을 꼭 갈라야됨? 여성이든 남성이든 다 같은 히어로구만 영화도 안 본 놈들이 단지 여성 히어로라고 메갈이라고 욕하면서 평점 깎는 수준 참 꼴 같잖다ㅋㅋ 그런걸 떠나서 그냥 재밌었는데;;.. 어이출타  
10,2019-03-06,"왜 다들  평점 낮게 주는지 노이해,,, 나도 첨에 평점 보고 볼지말지 고민하다 쿠키 영상 기다리면서 평점 씁니다 ㅠ 꼭보세용 어벤저스 시리즈 기다리시는 분이면 꼭 봐야하는 영화에용. 조르잼!! 쿠키영상 2개니까 꼭 챙겨보시길  "
10,2019-03-06,진짜 재밌었고 영화 보지도 않고 까는 사람들은 제발 반성했으면 좋겠다 도대체 어떤 영화가 나오기도 전에 이런 대접을 받고 많은 사람들에게서 망하라는 얘기가 나올 수 있는지 이해가 안 된다 배우나 영화 내용이 마음에 안 든다 수준을 넘었다고 생각된다.  
10,2019-03-06,방구석에서 평점테러 해봤자 현실 인싸남들은 다 보러오던데... 쩝  
2,2019-03-06,관람객재미없음. 마블 특유의 원테이크 액션신 없음. 유머도 마블스럽지 않음. 이거 안 봐도 어벤져스 다음 이야기 충분히 볼 수 잇음(토르2처럼). DC느낌남. 페미요소 있음 다만 시대적 상황을 생각했을 때 혜택이나 권리만 바라는 한국 페미랑은 전혀 다름  
10,2019-03-06,난 너에게 증명 할 필요없어  
10,2019-03-06,ㅋㅋㅋㅋ평점뭐임?  영화보도않고  1점주는 20대 남성ㅋㅋㅋ  
1,2019-03-06,재미없다...지루하기 짝이없네  
10,2019-03-06,로튼토마투 지수 현시점으로 84%. 재미 보장되리라 보고 돈주고 볼건데... 1점 2점 도배하며 페미 어쩌고 박나래 어쩌고 못생기고 어쩌고 드립치는 한국 영화관객 수준 한숨만 나오네요  
3,2019-03-06,관람객앤드게임을위해 줄거리를 만든거같은 느낌이 너무나내요 실망이 큽니다 퓨리가 외눈이된 이유가 허무하내요 하...  
1,2019-03-06,고인모독은 진짜 좀 아니였던거 같다  
1,2019-03-06,미스캐스팅. 원더우먼으로 재촬영해라  
1,2019-03-06,페미 켑틴마블    OCN에서  만나용~~~  
10,2019-03-06,여성 주인공이라 맘에 안드는 사람들이 많은 것 같은데 오히려 그렇기 때문에 볼 가치가 있는 영화  
10,2019-03-06,히어로의 탄생 장면이 정말 멋있다  
1,2019-03-06,"7,80년대 슈퍼맨이 더 재밌음  "
1,2019-03-06,미국판 이경실의 좌충우돌 힘자랑 영화....ㅋㅋㅋ  
10,2019-03-06,정말 잼있어요1점한사람들은 정말 찌질함의 극치를 보여주네요  
9,2019-03-06,마블이 왜 영화계를 이끄는지 보인다.  
2,2019-03-06,아쉽다  마블도 이렇게 가는구나  
1,2019-03-06,브리라슨.. 왜그랫니 마블 ㅜ  
2,2019-03-06,갤가돗 포스의.10퍼도 안됨 ㅋㅋㅋㅋ  
1,2019-03-06,스파이더맨 파 프롬 홈 -> 2019년 7월 개봉 예정  
1,2019-03-06,최악ㅋ 영화에 왜 지 사상을 투영하고 영화 자체를 한정시키나  
10,2019-03-06,찌질이들이 판치네ㅋㅋ  
1,2019-03-06,페미이기때문만은 아님 마블영화배우라면 하지말았어야할 행동을 했기때문에 평점테러당하는거임 마블의 창시자의 죽음을 모독했으니 별점테러당할수밖에  
10,2019-03-06,영화안봤으면  쫌 구석탱이에 가서 쭈그리고 앉자있어라  왜 평점 보기힘들게 하냐  니 사상은 딴데가서찾아라  
10,2019-03-06,여자아이들에게 여성히어로를 꿈꾸게 해주는 영화.  
8,2019-03-06,"지금 베플들 하나같이 9시 1분 작성, 9시 4분 작성 이꼬라지인데 이자식들 영화 본 거 맞긴 함? 쪽팔리게 보지도 않고 입털지마라.  "
1,2019-03-06,박나래씨가 마블영화에도 다 나오고 한국인으로서 자랑스럽네요  
2,2019-03-06,관람객초 울트라 베리 스트롱 크레이지 boring 걸!  
10,2019-03-06,완전 잼나게 봄. 개인적으로 배우 너무 매력있던데..약간 당당한 백치미가 이상하게 매력적임. 지금까지의 모든 마블 영화의 퍼즐이 맞춰지는 느낌  
10,2019-03-06,굿  ^^ 그렇게 불매한다면서 영화관에 70-80% 넘게 남성분이네요 ;;  
4,2019-03-06,관람객그냥 그래요. 어벤져스 시리즈들중 절 별로였던듯해요.  
1,2019-03-06,관람객슈트입은 원더우먼이네요. 뒷자리 다리 떨어서 짜증났는데 캡틴마블이 재워줬어요 진정한 히어로네요. 우주선 부술 때 아! 이 자금으로 원펀맨을 영화화했으면 정말 좋았을걸 하면서 제작비를 내가 왜 아까워하고 있는지 ..디시 거르니까 마블이 통수를 치네요  
1,2019-03-06,ㅇㅏ..진짜 진심 거르세요.내용 스토리 뻔하고억지 스토리 껴놓고 cg로 마지막 진 뺀거 같은데마블광팬이 저로써도 이번껀 걸러야지 했는데...진심 후회됨.그리고 앤드게임이랑 연결되는 거 안봐도 될꺼예요.!!아침부터 뻘짓ㅜㅜ  
10,2019-03-06,엄청 재밌는뎅~ 여자가 히어로인 엉화 정말 어랜만이어서 너무 좋았음  
10,2019-03-06,진짜 지금 평점들 영화랑 상관없이 흘러가는것 같아서 너무 안타깝네요. 영화자체는 진짜 재밌습니다. 역시 마블이라는 소리 저도 이번만큼은 못할줄 알았는데 마블은 역시 마블입니다. 이렇게 어벤져스의 기대감이 올라가네요  
1,2019-03-06,난 솔직히 브리라슨한테 박나래 닮았다고 하는건 좀 별로임... 박나래가 더 이쁜거같은데 진심으로  
10,2019-03-06,"남자의 관점에서 볼때도 매력적인작품이었다, 여성이 주인공인 작품이 많이 없는 것도 사실이고 여자도 강하다라는 걸 입증 한거 같은대?? 근대 남자새키들이 찌질하게 왜 그래?? 그냥 즐기자. 마블 시리즈 중 3손가락 안이다  "
2,2019-03-06,관람객고양이가 정말 강했다-끝-  
10,2019-03-06,대박 존잼 고양이 귀엽고 퓨리도 귀엽고 캡틴 마블 멋있음전형적 마블히어로영화  
10,2019-03-06,영화보지도 않고 다짜고짜 비판하는놈들 존2나 많네;;;;  
1,2019-03-06,이 와중에 비공 누른 쿵쾅이들 머냐? ㅋㅋ  
6,2019-03-06,관람객직접보고왔는데 빌런이 허접해서 액션씬이 너무 적고 캡틴마블이 얼마나쌘지 감이 안와서 아쉬움 오프닝이 과연 이 배우에게 적합한가도 의아함마블특유의 b급감성 개그는 여전함과거 사람들이 의문가졌던 떡밥 몇개풀리니 스토리보는 재미가있음  
5,2019-03-06,관람객이게 왜 평이 좋은걸까?지루하고 식상하고 뭐하나 세롭지못하다그렇다고 진지하지도 않다  
1,2019-03-06,배우캐스팅이 아쉽네요  
10,2019-03-06,솔직히 재밌긴 하잖아?  
10,2019-03-06,완전 재밌는데 !!고양이 귀여워용!!  
1,2019-03-06,폐미의 모든것 그자체..  
10,2019-03-06,네티즌 평점이랑 관람객 평점이랑 극과 극인게 너무 웃기잖어ㅋㅋㅋ 그새 비공감 누르네 치졸한것들ㅋ  
10,2019-03-06,꼭 보세요 존잼임 bbb  
1,2019-03-06,지금까지 잘 쌓아온 마블의 금자탑을 무너뜨리는 시초가 되지 않기를...  
10,2019-03-06,이게 5점대라고? 마블시리즈중 괜찮게봤구만..  
10,2019-03-06,첫번째 솔뭅 중에 이정도로 재미있던게 있었나?  
6,2019-03-06,관람객재미는 있었지만 안봐도 엔드게임 보는데 문제없음요  
1,2019-03-06,마블 영화는 다 봤는데 이건 안 보고 싶다돌아가신 스탠 리 선생님을 위하여  
10,2019-03-06,몰려와서 평점테러 하는거 진짜 수준낮다 ㅉㅉ 영화 보지도 않고 영화내용이랑 관련없는걸로 왜 평점테러질이야? 보기싫으면 니들만 보지말던가 이래놓고 영화 흥행 잘만할듯  
1,2019-03-06,별루 가뜩이나 논란도 있고 해서 더욱 보기 싫다.  
9,2019-03-06,아니 네이버 평점 왜이래요? 저는 재밌게봣어요! 옛날 감성으로 재밌게봤습니다!  
10,2019-03-06,냥덕들은 필히 볼것. 너무 귀여움ㅜㅜ마블덕후들은 떡밥 회수도 많고 다음 어벤저스 엔딩 떡밥도 많이 던진걸 알아찰수있을듯. 마지막 어벤저스화를 위해 꼭 거쳐가야할 마지막 퍼즐느낌  
6,2019-03-06,관람객기대가컸던탓인지 진짜솔직히 어벤져스관련쿠키영상이랑 중간중간에 사무엘잭슨의코믹연기아니였으면 볼가치도없던영화였음...지루해질때쯤마다 잭슨이 캐리했다고봄  
3,2019-03-06,배우논란 같은건 신경 안 쓰고 영화 보는 사람인데 다 제쳐놓더라도 cg빼곤 매우 안 좋습니다 무슨 엔드게임을 위한 긴 예고편을 본듯한 허망함이  느껴지네요 사실 이거 안 보고 바로 엔드게임 봐도 무방합니다 스토리가 뻔하고 엉성하면서 지루해요  
10,2019-03-06,영화평을 써라 고인 모독은 딴 데 가서 좀 지껄이고  
3,2019-03-06,관람객배우 하나 때문에 이렇게 집중이 안되긴 처음이다.. 페미가 문제가 아니라 캐릭터랑 너무 안 맞음; 영화 내내 무표정으로 지루하다는 듯이 연기하는 꼴 보고 있으니 내가 다 질린다. 그리고 사실상 어벤져스 내용과 거의 무관. 혼자 자아 찾는 내용이 전부임  
10,2019-03-06,재밌어요 ㅎ ㅎ ㅎ ㅎ 히 히  
10,2019-03-06,"주인공이 미스캐스팅이다, 페미다는 다 상관없고 마블영화 중에 손꼽을정도로 재미있었고 다음 영화까지 기대하게 만들정도로 재미있던 영화. 평점이 왜 낮은지 이해불가 영화  "
10,2019-03-06,진짜 마블세계관이 또 감탄함. 그 전에 인피니티워랑 이어지는 이야기와 몰랐던 사실을 알게돼서 소름돋고 어벤져스가 나오게된 것 이야기와 다 알게돼서 좋았음 빨리 엔드게임나와라..  
10,2019-03-06,개쩐다ㅋㅋ캡틴마블 겁니세네 불꽃간지다 진심 와와하면서 봤음 ㅋ어벤져스 마지막편 엄청기대되네요  
10,2019-03-06,역시 마블 영화는 진리 ㅎㅎ 그냥 히어로물일 뿐인데 왜케 욕이 많은지 마음 아픔ㅠㅠ 어벤져스 스포도 있고 핡 꼭 보세용ㅎㅎ  
10,2019-03-06,나만 재밌게 봄???!!!  
10,2019-03-06,페미 운운하면서 부들대는 애들 왜이렇게 안쓰럽냐...너네 보지도 않고 토렌트로 받을거라며 ㅋㅋ  
10,2019-03-06,너무 재밌어요 꼭 보세요~  
1,2019-03-06,솔직히 줄거리만 봐도 졸라짱쌘 사람이 자아찾아다니면서 방황하다가 마지막에 졸라짱쌘 힘으로 빌런 순삭 시키는거 딱봐도 슈퍼맨 생각밖에 안남.  
9,2019-03-06,재밌는데 왜그러냐ㅋㅋ  
10,2019-03-06,재밌던데 다들 안보고 평점 테러하네브리라슨 개이쁨ㅋ  
10,2019-03-06,허허 성향 차이로 이러는건 심하시네요 재밌습니다 그건 ㄹㅇ팩트임  
10,2019-03-06,일베에서 좌표찍고 몰려왔나..  
